Cód. Cota,Categoria,Crédito,Entrada,Nº Parcelas,Vlr Parcela,Saldo devedor,Fundo comum,Ref. garantia,Administradora,Status
189,Imóvel,"R$77.050,00","R$30.576,25",127,"R$668,00","R$84.836,00","R$0,00","R$0,00",HS Consórcios,Disponível
152,Imóvel,"R$77.400,00","R$31.085,00",156,"R$644,00","R$100.464,00","R$0,00","R$0,00",HS Consórcios,Disponível
100,Imóvel,"R$78.000,00","R$29.050,00",165,"R$592,00","R$97.680,00","R$0,00","R$0,00",HS Consórcios,Disponível
107,Imóvel,"R$78.350,00","R$29.308,75",159,"R$602,00","R$95.718,00","R$0,00","R$0,00",HS Consórcios,Disponível
163,Imóvel,"R$78.450,00","R$28.911,25",155,"R$658,00","R$101.990,00","R$0,00","R$0,00",HS Consórcios,Disponível
153,Imóvel,"R$78.550,00","R$31.563,75",153,"R$654,00","R$100.062,00","R$0,00","R$0,00",HS Consórcios,Disponível
149,Imóvel,"R$78.600,00","R$31.215,00",152,"R$653,00","R$99.256,00","R$0,00","R$0,00",HS Consórcios,Disponível
137,Imóvel,"R$78.700,00","R$31.467,50",149,"R$647,00","R$96.403,00","R$0,00","R$0,00",HS Consórcios,Disponível
131,Imóvel,"R$78.800,00","R$31.770,00",153,"R$643,00","R$98.379,00","R$0,00","R$0,00",HS Consórcios,Disponível
117,Imóvel,"R$79.000,00","R$29.425,00",158,"R$615,00","R$97.170,00","R$0,00","R$0,00",HS Consórcios,Disponível
124,Imóvel,"R$79.000,00","R$31.475,00",153,"R$639,00","R$97.767,00","R$0,00","R$0,00",HS Consórcios,Disponível
176,Imóvel,"R$79.000,00","R$31.125,00",141,"R$672,00","R$94.752,00","R$0,00","R$0,00",HS Consórcios,Disponível
110,Imóvel,"R$79.100,00","R$30.277,50",160,"R$611,00","R$97.760,00","R$0,00","R$0,00",HS Consórcios,Disponível
136,Imóvel,"R$79.100,00","R$28.827,50",146,"R$650,00","R$94.900,00","R$0,00","R$0,00",HS Consórcios,Disponível
174,Imóvel,"R$79.150,00","R$28.978,75",156,"R$672,00","R$104.832,00","R$0,00","R$0,00",HS Consórcios,Disponível
192,Imóvel,"R$79.200,00","R$28.980,00",156,"R$697,00","R$108.732,00","R$0,00","R$0,00",HS Consórcios,Disponível
360,Imóvel,"R$79.300,00","R$35.282,50",138,"R$568,06","R$78.392,28","R$0,00","R$0,00",Itaú,Disponível
616,Imóvel,"R$79.679,00","R$30.000,00",53,"R$1.388,43","R$73.586,79","R$0,00","R$0,00",Embracon,Disponível
143,Imóvel,"R$79.700,00","R$28.992,50",134,"R$659,00","R$88.306,00","R$0,00","R$0,00",HS Consórcios,Disponível
148,Imóvel,"R$79.700,00","R$29.892,50",134,"R$662,00","R$88.708,00","R$0,00","R$0,00",HS Consórcios,Disponível
118,Imóvel,"R$80.250,00","R$32.306,25",147,"R$625,00","R$91.875,00","R$0,00","R$0,00",HS Consórcios,Disponível
218,Imóvel,"R$80.700,00","R$31.767,50",124,"R$798,00","R$98.952,00","R$0,00","R$0,00",HS Consórcios,Disponível
116,Imóvel,"R$80.800,00","R$30.020,00",153,"R$628,00","R$96.084,00","R$0,00","R$0,00",HS Consórcios,Disponível
159,Imóvel,"R$80.950,00","R$31.773,75",133,"R$677,00","R$90.041,00","R$0,00","R$0,00",HS Consórcios,Disponível
79,Imóvel,"R$81.000,00","R$28.525,00",163,"R$642,86","R$104.786,18","R$0,00","R$0,00",Embracon,Disponível
206,Imóvel,"R$81.050,00","R$31.926,25",142,"R$753,00","R$106.926,00","R$0,00","R$0,00",HS Consórcios,Disponível
590,Imóvel,"R$81.100,00","R$43.927,50",194,"R$504,00","R$97.776,00","R$0,00","R$0,00",Portobens,Disponível
196,Imóvel,"R$81.450,00","R$30.536,25",130,"R$740,00","R$96.200,00","R$0,00","R$0,00",HS Consórcios,Disponível
201,Imóvel,"R$81.900,00","R$31.997,50",144,"R$752,00","R$108.288,00","R$0,00","R$0,00",HS Consórcios,Disponível
197,Imóvel,"R$82.250,00","R$30.556,25",131,"R$748,00","R$97.988,00","R$0,00","R$0,00",HS Consórcios,Disponível
